INDEX,TITLE,PLAY_SECONDS,PLAY_TIME,DURATION,LAST_TIME,URL
50,09-get和filter,1045,17m25s,10h32m20s,72h0m22s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=50
51,10-基础查询,958,15m58s,10h48m18s,71h44m24s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=51
52,11-F对象,346,5m46s,10h54m4s,71h38m38s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=52
53,12-Q对象,565,9m25s,11h3m29s,71h29m13s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=53
54,13-上午回顾,213,3m33s,11h7m2s,71h25m40s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=54
55,14-排序和聚合函数,731,12m11s,11h19m13s,71h13m29s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=55
56,15-管理查询,873,14m33s,11h33m46s,70h58m56s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=56
57,16-关联查询和管理过滤查询,755,12m35s,11h46m21s,70h46m21s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=57
58,17-查询结果集,1369,22m49s,12h9m10s,70h23m32s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=58
59,18-项目准备工作,1078,17m58s,12h27m8s,70h5m34s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=59
60,19-postman的简单介绍,346,5m46s,12h32m54s,69h59m48s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=60
61,20-http请求传递数据的4中途径,779,12m59s,12h45m53s,69h46m49s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=61
62,21-获取请求路径中的参数,660,11m0s,12h56m53s,69h35m49s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=62
63,22-查询字符串,846,14m6s,13h10m59s,69h21m43s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=63
64,23-总结,231,3m51s,13h14m50s,69h17m52s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=64
65,01-回顾,463,7m43s,13h22m33s,69h10m9s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=65
66,02-传递form表单数据,655,10m55s,13h33m28s,68h59m14s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=66
67,03-json数据请求和接收,1067,17m47s,13h51m15s,68h41m27s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=67
68,04-请求头,462,7m42s,13h58m57s,68h33m45s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=68
69,05-转换器的使用,1211,20m11s,14h19m8s,68h13m34s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=69
70,06-HttpResponse,540,9m0s,14h28m8s,68h4m34s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=70
71,07-JsonResponse,915,15m15s,14h43m23s,67h49m19s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=71
72,08-重定向,276,4m36s,14h47m59s,67h44m43s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=72
73,09-上午回顾,191,3m11s,14h51m10s,67h41m32s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=73
74,10-cookie的流程和设置,2373,39m33s,15h30m43s,67h1m59s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=74
75,11-cookie的有效期和删除,524,8m44s,15h39m27s,66h53m15s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=75
76,12-session的流程,1175,19m35s,15h59m2s,66h33m40s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=76
77,13-session数据的设置,1245,20m45s,16h19m47s,66h12m55s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=77
78,14-session保存到redis和session的过期时间,993,16m33s,16h36m20s,65h56m22s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=78
79,15-类视图的定义,815,13m35s,16h49m55s,65h42m47s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=79
80,16-as_view,836,13m56s,17h3m51s,65h28m51s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=80
81,17-总结,284,4m44s,17h8m35s,65h24m7s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=81
82,01.5-反馈,644,10m44s,17h19m19s,65h13m23s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=82
83,02-as_view源码分析,810,13m30s,17h32m49s,64h59m53s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=83
84,03-多继承和MRO的顺序,2087,34m47s,18h7m36s,64h25m6s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=84
85,04-中间件的概念,1329,22m9s,18h29m45s,64h2m57s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=85
86,05-中间件的调用顺序,628,10m28s,18h40m13s,63h52m29s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=86
87,06-vue简介,733,12m13s,18h52m26s,63h40m16s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=87
88,07-hello-vue,1066,17m46s,19h10m12s,63h22m30s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=88
89,08-data变量,328,5m28s,19h15m40s,63h17m2s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=89
90,10-data,792,13m12s,19h28m52s,63h3m50s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=90
91,11-if,1105,18m25s,19h47m17s,62h45m25s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=91
92,12-for的基本使用,681,11m21s,19h58m38s,62h34m4s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=92
93,13-for循环对象,454,7m34s,20h6m12s,62h26m30s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=93
94,14-methods方法,785,13m5s,20h19m17s,62h13m25s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=94
95,15-绑定表单元素,1989,33m9s,20h52m26s,61h40m16s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=95
96,16-todolist案例,722,12m2s,21h4m28s,61h28m14s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=96
97,17-es6箭头函数,469,7m49s,21h12m17s,61h20m25s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=97
98,19.5-总结,225,3m45s,21h16m2s,61h16m40s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=98
99,01-开发的流程和人员,1800,30m0s,21h46m2s,60h46m40s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=99
100,02-项目架构设计简介,294,4m54s,21h50m56s,60h41m46s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=100
101,03-创建码云远程仓库,602,10m2s,22h0m58s,60h31m44s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=101
102,04-创建工程和gitignore操作以及pychamr操作git,1467,24m27s,22h25m25s,60h7m17s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=102
103,05-目录结构,286,4m46s,22h30m11s,60h2m31s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=103
104,06-运行前端,500,8m20s,22h38m31s,59h54m11s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=104
105,07-MySQL配置,739,12m19s,22h50m50s,59h41m52s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=105
106,08-django-redis的配置,388,6m28s,22h57m18s,59h35m24s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=106
107,09-日志,1572,26m12s,23h23m30s,59h9m12s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=107
108,10-设置访问的域名,453,7m33s,23h31m3s,59h1m39s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=108
109,11-创建users子应用,809,13m29s,23h44m32s,58h48m10s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=109
110,12-上午回顾,693,11m33s,23h56m5s,58h36m37s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=110
111,13-需求分析,1315,21m55s,24h18m0s,58h14m42s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=111
112,14-定义用户模型类,1099,18m19s,24h36m19s,57h56m23s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=112
113,15-替换系统的User,990,16m30s,24h52m49s,57h39m53s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=113
114,16-restful设计方法,680,11m20s,25h4m9s,57h28m33s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=114
115,17-判断用户名是否重复的思路分析,1004,16m44s,25h20m53s,57h11m49s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=115
116,18-判断用户名是否重复的实现,688,11m28s,25h32m21s,57h0m21s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=116
117,19-自定义转换器,742,12m22s,25h44m43s,56h47m59s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=117
118,20-CORS,1603,26m43s,26h11m26s,56h21m16s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=118
119,21-总结,264,4m24s,26h15m50s,56h16m52s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=119
120,01-回顾,1056,17m36s,26h33m26s,55h59m16s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=120
121,02-注册的思路分析,1040,17m20s,26h50m46s,55h41m56s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=121
122,03-注册功能--密码没有加密,1458,24m18s,27h15m4s,55h17m38s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=122
123,04-注册功能的实现--加密,649,10m49s,27h25m53s,55h6m49s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=123
124,05-状态保持的实现,1198,19m58s,27h45m51s,54h46m51s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=124
125,06-以www.meiduo.site方式前端,274,4m34s,27h50m25s,54h42m17s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=125
