INDEX,TITLE,PLAY_SECONDS,PLAY_TIME,DURATION,LAST_TIME,URL
877,052-小程序实战-购物车模块-全选功能,922,15m22s,253h27m10s,25h55m47s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=877
878,053-小程序实战-我的模块-布局,616,10m16s,253h37m26s,25h45m31s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=878
879,054-小程序实战-我的模块-换头像-杀青,503,8m23s,253h45m49s,25h37m8s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=879
880,001-小程序开发项目，起步式,401,6m41s,253h52m30s,25h30m27s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=880
881,002-项目模块介绍及演示,773,12m53s,254h5m23s,25h17m34s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=881
882,003-小程序项目创建与配置,644,10m44s,254h16m7s,25h6m50s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=882
883,004-Serverless创建与配置,416,6m56s,254h23m3s,24h59m54s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=883
884,005-打通小程序到Serverless开发-1,1299,21m39s,254h44m42s,24h38m15s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=884
885,006-打通小程序到Serverless开发-2,1227,20m27s,255h5m9s,24h17m48s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=885
886,007-打通小程序到Serverless开发,1065,17m45s,255h22m54s,24h0m3s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=886
887,008-云数据库创建与配置,946,15m46s,255h38m40s,23h44m17s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=887
888,009-打通Serverless到数据库开发-1,779,12m59s,255h51m39s,23h31m18s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=888
889,010-打通Serverless到数据库开发-2,1227,20m27s,256h12m6s,23h10m51s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=889
890,011-打通Serverless到数据库开发-3,2763,46m3s,256h58m9s,22h24m48s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=890
891,012-云直播创建与配置,948,15m48s,257h13m57s,22h9m0s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=891
892,013-打通小程序到云直播开发-1,1540,25m40s,257h39m37s,21h43m20s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=892
893,014-打通小程序到云直播开发-2,1221,20m21s,257h59m58s,21h22m59s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=893
894,015-打通小程序到云直播开发-3,697,11m37s,258h11m35s,21h11m22s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=894
895,016-即时通信IM创建与配置,968,16m8s,258h27m43s,20h55m14s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=895
896,017-登录模块-界面开发,1157,19m17s,258h47m0s,20h35m57s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=896
897,018-登录模块-授权开发,2022,33m42s,259h20m42s,20h2m15s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=897
898,019-登录模块-导入IM体系,2259,37m39s,259h58m21s,19h24m36s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=898
899,020-登录模块-写入DB,1016,16m56s,260h15m17s,19h7m40s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=899
900,021-登录模块-创建IM群组,2183,36m23s,260h51m40s,18h31m17s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=900
901,022-直播广场-用户验证,1536,25m36s,261h17m16s,18h5m41s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=901
902,023-直播广场-获取列表,1240,20m40s,261h37m56s,17h45m1s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=902
903,024-直播广场-界面布局,1641,27m21s,262h5m17s,17h17m40s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=903
904,025-直播广场-真机测试,823,13m43s,262h19m0s,17h3m57s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=904
